UTCtime:2024,9,25,12:31:44,Robot Leader – beaker,,
(36,1.39262,0.448654,10.2867,0.0343612,0.0639881, -0.161574)
(37,0.598206,-0.0705883,10.0271,0.0355829,0.0166461, -0.0766636)
(38,0.824327,0.350549,9.72324,0.00412334,-0.0192422, -0.00259618)
(39,0.84347,0.290728,9.65863,-0.00259618,-0.0210748, -0.0135917)
(40,1.59242,-0.101695,9.75913,-0.033903,0.0763581, 0.0957531)
(41,0.912862,0.0514457,9.35235,-0.00580322,0.0351248, 0.101251)
(42,0.434297,-0.0215354,9.76631,0.0140499,-0.0290161, 0.0)
(43,0.488136,-0.178265,9.47678,0.0285579,-0.0583376, 0.0448986)
(44,0.896112,-0.0801595,10.2293,-0.0158825,-0.043066, -0.000152716)
(45,1.23829,-0.160319,8.96351,-0.0326813,-0.0108429, -0.0065668)
(46,0.867398,-0.0191426,9.52942,0.0056505,-0.0447459, -0.00641408)
(47,1.00977,-0.061017,9.801,-0.00733038,0.0122173, -0.00626137)
(48,1.01815,0.0263211,9.69572,0.00702495,-0.0485638, -0.0148135)
(49,1.05165,-0.0681955,9.66102,0.000610865,0.0131336, -0.00397062)
(50,1.066,-0.0131605,9.69452,-0.00381791,-0.00992656, -0.0126754)
(51,1.11984,-0.020339,9.75315,0.00106901,-0.0148135, -0.00671952)
(52,1.10429,-0.0753739,9.77348,-0.00320704,-0.00198531, -0.00366519)
(53,0.734597,0.252443,9.68256,0.0122173,0.0633773, 0.00901026)
error,,,,,,
(54,1.23829,0.331406,10.0618,0.00687223,-0.102167, -0.0988074)
(55,1.47996,0.291924,10.0845,0.0552833,-0.0917825, -0.0945314)
(56,1.42014,0.21655,9.76032,-0.0270308,0.00717767, 0.0100793)
(57,1.06241,0.262014,9.3356,0.00549779,0.0374155, 0.0140499)
(58,0.954736,0.411566,10.0056,0.0332921,-0.0148135, 0.0768163)
(59,0.805185,0.506082,9.47678,-0.0129809,-0.0218384, 0.0148135)
(60,1.03011,0.384048,9.64547,-0.00274889,-0.0172569, -0.00412334)
(61,0.794417,0.525225,9.95295,0.0190895,-0.0378736, -0.0870483)
(62,1.0002,0.288335,10.3167,-0.0233656,0.0833831, 0.00610865)
(63,0.713061,0.665205,9.57847,0.0137445,0.0271835, 0.00488692)
(64,0.715454,0.117248,9.89791,-0.0394008,-0.0494801, -0.0594066)
(65,0.504885,0.770489,9.74717,-0.00839939,-0.0297797, 0.0406225)
(66,0.601795,0.445065,9.64308,-0.000763581,-0.0065668, 0.0244346)
(67,0.597009,0.228515,9.84407,0.00427606,0.0222966, 0.00458149)
(68,0.618545,0.282353,9.74357,0.00335976,0.0056505, -0.00702495)
(69,0.58026,0.32662,9.74238,-0.000152716,-0.00534507, -0.00962113)
end of logging,,,,,,
